Symbols,Healthy_1_S1.CEL,Healthy_2_S1.CEL,Healthy_3_S1.CEL,Healthy_4_S1.CEL,Healthy_5_S1.CEL,DCIS_1_S1.CEL,DCIS_2_S1.CEL,DCIS_3_S1.CEL,DCIS_4_S1.CEL,DCIS_5_S1.CEL,DCIS_6_S1.CEL,DCIS_7_S1.CEL,DCIS_8_S1.CEL,DCIS_9_S1.CEL
PLIN4,12.46802356,11.99525392,9.585224816,12.75756744,13.15526439,7.181224734,7.890875901,7.414225678,8.271131116,6.171976788,7.534136421,5.957005002,7.954687282,9.627734493
KRT19,4.758611956,4.80532176,4.702751819,4.69617153,4.626775878,5.306362345,4.556619831,4.771850474,4.759784641,4.95218383,4.543716645,4.957734929,4.8947424,5.014015548
COL11A1,2.917068143,3.022990946,3.329025307,3.192621064,2.934142383,4.268453842,3.883540176,3.071702261,3.680512373,4.171714616,3.326274242,3.331872265,4.491777412,3.305636203
THRSP,12.2932934,11.07373433,9.877073571,12.01656059,12.21149434,9.722393555,7.261341641,8.235851376,7.996593621,6.223034577,6.306210947,4.956308113,6.974499778,9.079682862
THRSP,11.61535112,10.44215332,9.052124807,11.20819401,10.99631278,9.02707673,6.842637331,7.68228215,7.39059095,6.572656612,6.56645421,5.694299067,6.34308286,8.642165953
F2RL2,4.650680568,6.738623988,7.248632394,3.992301077,6.129994601,8.122176495,10.97282905,9.381208345,9.528113406,9.077376535,8.847375042,9.570476647,9.087942249,6.535616944
TOX3,5.251689401,5.065651887,4.999737052,5.334125606,5.273769845,5.512273643,5.065508905,5.346521096,5.181748763,5.413343039,5.618963783,5.370709465,5.570051908,5.294871106
EPPK1,4.40208286,8.054562221,8.816906694,4.314499714,6.88770657,11.30584778,10.06402748,8.504791275,8.090878132,9.438133906,10.01569165,10.11389039,10.91341063,9.282586664
EPPK1,3.612322995,7.812900334,8.420360291,4.365896084,6.953839488,10.64298292,9.599172571,8.153624594,7.461210449,8.934863683,9.523231568,9.431051175,10.18206699,8.75959372
EPPK1,5.073509279,5.111628037,5.313950465,5.192323943,5.064350954,6.69371377,5.467148334,5.353384699,5.264999167,5.98195181,5.838635577,6.636428818,5.425809004,5.283613577
EPPK1,4.77821305,4.721788223,4.817467481,5.024633266,4.523516136,5.037403311,4.793503003,4.587406785,4.531809024,4.804639971,4.959612004,4.681725788,4.74855427,4.783872812
HSPB7,4.454056081,4.150470998,3.939081668,4.445149289,4.440988555,4.35600439,3.668045365,4.181223628,4.174635137,4.295194986,4.129104754,4.242788517,4.189733743,4.336119512
KLB,8.799279599,7.3668773,4.931388388,8.710298306,8.668161334,3.477814903,3.46987773,3.622171233,4.473643854,3.372732146,4.020616356,3.406944501,4.527731106,5.135676392
FABP4,12.38468581,11.15950332,9.595704337,12.16271147,11.81021365,7.245240274,7.241159174,6.68268949,10.2493306,5.41545127,6.140945962,4.980685048,7.418946489,9.854919386
TMC5,4.504770883,4.213397825,4.262008744,4.228525554,4.13885647,6.011219071,7.124434773,5.181102409,4.494501026,6.1157583,5.104451611,6.516115631,4.892006719,3.700110084
FOXA1,3.364261044,6.109518106,5.993370008,3.229485932,4.064020231,9.02725713,9.350463432,8.954343358,8.421946589,8.748655534,8.541917284,10.07527735,8.695983865,3.041431367
TOP2A,3.08179537,3.229356902,3.350431047,3.351134541,3.400686422,3.533665883,3.301514995,4.915137145,3.225432598,3.172966078,3.425206079,5.101525222,3.472586742,4.466866372
HOTAIR,3.498334782,3.850852726,3.46895926,3.447943253,3.602793435,5.046894517,8.111408483,7.121886516,6.373260901,6.607412979,6.606361962,7.478469855,7.347082428,6.695292849
SLC19A3,9.342446911,9.521491037,6.626603936,9.595298992,8.776983915,5.284616511,5.051125506,4.90731888,5.548113915,4.944618876,5.376796723,5.100056131,5.43790778,6.607488855
TRARG1,10.32347864,9.887820537,7.72317407,10.71432448,11.02374576,6.001494801,6.186177929,6.315967186,6.750645128,5.329089589,6.185280476,5.757693735,6.084864607,7.291975821
TMC5,4.985147918,5.385782652,5.198167641,5.444444264,5.12277674,5.170532911,5.710314791,6.217271886,5.615356718,6.399070202,6.715527543,8.854744458,7.559448663,5.085035137
TMC5,3.937204019,6.29906305,6.961323025,6.219577596,5.350834012,9.846221194,11.39771733,9.812665883,8.195575644,10.89089771,10.22479255,12.04920989,10.53786102,4.589334971
DEFB132,7.961075608,9.508756567,6.491168486,7.476048494,11.30294259,4.12964975,4.383620668,4.491636913,4.488297372,4.476958831,4.881823055,4.462086416,4.549857767,6.763560984
ADH1B,3.613530133,3.309379949,3.499512982,3.817889049,3.81485495,3.349474801,3.241851598,3.335815952,3.391606765,3.323773472,3.35396152,3.268028549,3.370656275,3.378552125
CD300LG,5.05329059,4.811121614,4.597149879,4.615514914,4.709609155,4.188932678,4.464403631,4.327179381,4.409165596,4.299177973,4.16714395,4.167165843,4.523632709,4.358775515
AKR1C2,4.611056509,4.560932081,4.540242951,4.904779896,4.888863808,4.351120412,4.309042374,4.396890813,4.602161747,4.41316242,4.329177081,4.214864339,4.454862953,4.075208094
KLB,10.6567464,9.311381964,6.947262427,10.87304347,10.77542152,4.892100566,5.836094375,5.998081547,6.747018003,5.292613129,6.42587527,5.089928637,6.798861566,7.742991871
CD24,6.104434806,9.525002538,11.07406633,6.700185585,8.855372526,10.6177904,11.03836492,11.79425128,10.19819718,11.90128845,11.7132428,11.6390008,12.16749089,11.96987964
COL11A1,4.48873671,3.82862328,6.196122247,4.650730154,5.603696424,10.21409132,9.876232559,5.379909514,8.670152002,8.76510205,6.639648646,7.973233507,9.242005559,7.564874047
ACACB,11.15047753,10.4822726,8.527264336,11.55160828,11.66638797,6.699500384,7.683475419,7.030566157,7.773855978,6.397798959,6.397286934,6.117150426,6.841753513,7.443975202
ACACB,11.28256928,10.67573381,8.699339499,11.7091167,11.77111406,6.617560578,7.968140952,7.141076925,7.979509939,6.378879739,6.126318149,6.056083847,6.617022767,7.458173881
