Symbols,Healthy_1_S1.CEL,Healthy_2_S1.CEL,Healthy_3_S1.CEL,Healthy_4_S1.CEL,Healthy_5_S1.CEL,DCIS_1_S1.CEL,DCIS_2_S1.CEL,DCIS_3_S1.CEL,DCIS_4_S1.CEL,DCIS_5_S1.CEL,DCIS_6_S1.CEL,DCIS_7_S1.CEL,DCIS_8_S1.CEL,DCIS_9_S1.CEL
KMO,4.862322999,4.746227681,4.709558561,4.25590059,5.006133671,10.39647875,5.799228102,9.845840524,9.613029848,10.78965319,8.635933647,8.153012666,7.375864919,7.016840238
KMO,4.540807847,4.267713057,4.15393053,4.212845637,3.813024341,8.054873036,4.846687543,6.706936962,6.99036625,8.115395544,6.161656052,5.774289164,4.858645626,5.356513583
CFD,14.09374455,13.67798949,11.89760142,14.32383565,14.03694715,10.29204092,10.78530883,10.04822522,10.53666629,8.953373333,9.079766901,9.555279333,10.09155856,10.54111005
ZBTB16,11.62533761,11.21319972,9.88119135,11.72020365,10.92800005,6.367343219,7.421503489,6.176969781,9.110188658,6.059026835,6.530812721,7.044300098,7.550768749,6.422245459
PLIN1,14.10628448,13.43738822,11.53983332,13.64750363,13.75149137,8.668671089,9.419621604,8.878278669,10.12299699,7.477449331,9.025148696,6.950505119,9.557965195,11.03647142
S100A7,4.329370594,4.732648587,4.535905848,4.884845714,4.888471467,13.75945561,6.415058056,10.58030405,9.71482431,14.19753903,6.504867355,7.670806792,8.266551568,9.6953837
COL10A1,4.924396862,5.078583047,4.893972108,5.524050731,5.614415884,9.527868327,10.83475545,8.998374736,9.0323301,9.943294212,8.906104779,9.187551682,9.124216659,7.951131263
ADAMDEC1,3.860324488,4.278141011,4.273436253,3.621008604,3.930022534,8.517208145,5.035894118,8.484978205,7.707657561,8.882026844,9.027124022,6.703670381,7.819450774,4.854108837
CLCA2,5.547324575,5.029852154,5.219770468,4.91169946,5.628774763,8.499769602,5.975349554,7.489480592,8.266870903,10.11191474,7.099396594,7.345866985,7.285292188,4.960494495
CLCA2,5.283092367,5.163822232,5.374206811,4.883082429,6.63566401,10.49278043,7.597275743,9.521287328,10.03563039,11.7393929,8.785578566,9.153378825,9.10959156,4.904583721
CLCA2,5.088501922,4.773170258,5.061846212,5.048178291,5.264572992,8.395545885,5.343945592,7.523116445,8.066489015,10.09878783,6.739922672,7.32032205,7.155750744,4.272075397
TIMP4,10.81015285,10.19001295,7.795727936,11.19396919,10.94310568,5.040885382,5.751817053,5.477477699,6.536942301,4.309169032,5.544917769,5.653197724,5.697361226,8.161049735
F2RL2,3.965646861,4.024607887,3.581803363,3.716239662,3.766881554,3.677959791,4.227392981,3.568502127,3.804625442,4.078029588,4.011884334,3.864492646,4.040666965,3.768375334
LEP,12.12346045,13.02663719,9.516231157,10.89156473,13.41208393,6.456097074,6.09263372,6.470229884,7.565137471,4.660129708,7.248064064,5.332025003,7.526802435,9.993069131
SORBS1,9.167327487,9.065356389,9.635580101,9.337553725,9.166319205,8.775833891,9.150179269,9.008637683,9.042139506,8.845981837,8.689009545,9.238070295,8.862597816,9.166158197
CRISP3,3.380223628,3.562786865,3.322115508,3.685957063,4.111047398,3.472586742,3.300039843,10.09685842,9.659618797,8.16555473,9.729497679,4.249765192,7.60470675,8.578105603
MUC1,6.210044644,7.611363988,7.934365489,6.282377768,7.314635527,11.92648366,10.42266851,9.602306489,10.05641392,10.49676773,10.01866717,12.22777695,9.508058442,8.587895387
EPPK1,6.083620634,7.008123098,6.924777509,6.942363013,6.256987755,8.342843533,7.576005901,7.073697945,6.299550268,7.252687188,7.76165792,7.376876997,8.390444377,7.280353694
LIPE,11.58358159,10.71133242,7.9963414,11.9199421,11.66147284,6.514861116,7.542763566,7.163438198,7.209224239,6.98486686,6.593614456,6.429828883,6.942903487,8.072308408
PCK1,10.10101047,9.102193974,7.171627458,11.13461419,9.290519187,4.75957914,5.641495893,4.648816584,5.592964293,4.130976099,4.568325312,3.966063978,5.815649586,7.121930443
CD24,5.309939849,9.073001533,10.79091216,5.748098021,7.240981555,10.17223718,10.28500755,11.77553797,9.516401691,11.77759085,11.42534621,11.30121444,11.92237308,11.95534519
CD24,6.122109968,9.798690986,11.20347596,7.031880458,8.971491469,10.75987837,11.14624098,11.99864318,10.48369749,11.99485967,11.7963595,11.6689379,12.09716015,12.13017577
ADH1B,13.76413266,13.22073055,11.52562034,13.92663189,12.2531536,8.116539156,9.912456771,8.890006877,9.996830082,8.064307212,8.373384837,7.97215546,8.957562345,10.02145748
ADH1B,13.07279943,12.64000268,11.60985985,13.42730013,11.94697798,8.139544056,9.597653704,9.011818138,10.08755641,7.732117195,8.369750416,8.080995772,9.173622497,10.09668936
ADH1B,10.04576972,9.603963366,7.394236792,10.16470048,9.220212465,5.634085805,5.967560505,5.569198893,6.069524522,6.134223426,6.010724859,5.81317654,6.424366141,6.445277653
S100B,10.80032903,8.756565844,8.045621403,10.33413596,10.2045827,5.58871462,5.918505561,6.136967623,6.302499196,5.011826309,6.455992034,5.19914276,5.300870289,6.655789925
AKR1C2,12.83297708,12.24587184,10.31514613,12.58939353,13.20861364,7.913502533,8.667510921,7.725479723,9.372815709,6.869963668,8.227117842,7.197528077,10.18980896,9.834249805
CD24,8.052583562,11.48514155,12.73466487,8.776677408,10.69953955,12.48777528,12.9393025,13.63205864,12.08694536,13.62951606,13.50696061,13.4371866,13.75828626,13.68341944
CD24,7.010623919,8.729686599,10.21408388,6.826715838,7.024143654,9.478815387,10.03537835,11.40465864,8.856510893,11.42384542,10.87099907,11.00411471,11.23117261,11.58369187
RRM2,4.671656295,5.27451401,6.041222785,4.602496446,5.591437209,9.27790817,6.608393582,9.964544935,8.202528037,10.23246167,8.890889599,9.956922448,10.49489832,10.02048791
SPP1,6.832108143,6.68249473,6.465530603,6.969330671,7.971313281,11.86226781,9.069503506,10.3978662,12.06668238,11.36393709,11.15491202,12.545063,11.29881323,10.49741213
FHL1,12.79981716,12.06144449,9.129870259,11.4263037,10.10238155,6.872226962,8.097353936,7.180347691,8.691924087,6.039465616,7.083190178,7.114744915,7.804845166,8.830591399
FHL1,13.08294735,12.30972754,9.841304493,11.94366861,11.21946951,7.421360741,8.580728398,7.597275743,9.422754169,6.339194983,7.408202323,7.052231781,8.625556625,9.535615014
GYG2,9.585110113,8.844353118,6.7501897,9.585563733,8.838987765,5.573286217,5.991751602,5.346649655,5.887292432,5.977139573,5.711060671,4.789693178,5.905267774,6.4600349
GYG2,10.89773959,10.24650917,7.546688834,11.20429073,10.563091,6.219627312,6.746939954,6.03026122,6.776363982,6.542238505,6.155314063,5.266059047,6.893015753,7.529303192
KMO,4.474055259,4.809678762,4.450230957,4.095512294,5.02685498,10.27267275,5.917415276,9.876636302,9.596042732,10.76124491,8.623932577,8.014177458,7.169953606,7.095400326
