X,logFC,AveExpr,t,P.Value,adj.P.Val,B
228729_at,-2.43969092638233,5.83125048952338,-5.54981186240613,8.20603873337999e-05,0.0022993226535626,1.67683628542049
208016_s_at,2.43767568925541,6.47598428919373,5.21713466319151,0.000147306371498381,0.00337692908246288,1.09427405229787
218807_at,-2.43513032401982,9.08651193990395,-4.98469830783132,0.000223662358899372,0.00441826047671725,0.678337884880874
219148_at,-2.43375982378699,5.69027609909975,-5.07056576898854,0.000191526427251246,0.00396355314533002,0.832818174272777
212097_at,2.43258272639123,11.4051142545994,7.31662563776411,4.73738040098521e-06,0.000461704587208318,4.50046463524502
228728_at,2.4321118337762,9.4547029777295,8.57428514808981,7.95851975341259e-07,0.000196892338243364,6.23851421398208
203881_s_at,2.42750556105308,7.93756326297601,11.0691857380336,3.80584398951577e-08,5.71194633190263e-05,9.11426733349165
217418_x_at,-2.42672989376097,5.94795027717444,-3.59435178497966,0.00309482568115348,0.0256950610316363,-1.92617131770788
202884_s_at,2.42458764595027,7.29627409668669,5.99042634342274,3.87097952523389e-05,0.00146590394056186,2.42407725145344
210559_s_at,-2.42425963477339,6.30012513512183,-6.15824096056661,2.92835180349225e-05,0.00126413939393908,2.70118253473211
214767_s_at,2.42352321428173,6.86523010017664,5.74497840198811,5.86341195956227e-05,0.00187474882391267,2.0113059986776
209603_at,-2.42347309437205,7.99294484436732,-3.69221449296025,0.0025581834945181,0.0226032130838359,-1.73890056692127
226018_at,2.422982635014,7.05122730797993,7.92692953696989,1.94659913912871e-06,0.000302319110698016,5.37069934443548
226834_at,2.42251019961075,8.51914703202452,5.75755557118021,5.73880570134437e-05,0.00185208831214829,2.03267136563743
1553986_at,-2.42169929419091,8.10551376613951,-4.3158972853273,0.000772464797725893,0.0100389504198654,-0.554534598803211
204607_at,-2.41584109476485,8.5262669200427,-2.71196862685025,0.0173130317973589,0.0840516794104596,-3.5953679728535
32625_at,2.41486781286473,8.06389785971565,6.9903742341012,7.77069095122496e-06,0.000584432454660111,4.01360420410431
241925_x_at,2.41380028207729,5.86088949214817,5.81799808572035,5.17753054275115e-05,0.00173882974462481,2.13502596410104
203358_s_at,-2.41078557801151,5.9929436713744,-6.81534942660077,1.01921456907978e-05,0.000681241522792625,3.74604508495456
204159_at,2.40782748121302,8.91677553150427,9.13035257889392,3.83232981219575e-07,0.000153216465020858,6.94111171360535
203362_s_at,-2.40738964937934,7.18979065135314,-5.15750694998182,0.000163852205120257,0.00360652951487523,0.988251914985787
209008_x_at,-2.40393053200202,9.57478884232368,-5.19056746157048,0.000154452216558218,0.0034694638210027,1.04709465167434
1556427_s_at,2.40352386115667,7.84996752871954,5.47664735920055,9.32072637075397e-05,0.00249139471142073,1.55004341782078
235763_at,-2.40327992012673,4.99871395910938,-3.03536799463334,0.00922901506477354,0.054415658219184,-2.99162999465776
221748_s_at,2.40185787304384,11.6155087033859,8.29701823825981,1.1604405398808e-06,0.000241243674973319,5.87357879737603
215768_at,2.39880431634667,5.130440998351,6.54090020770348,1.57249338986315e-05,0.000881330630631073,3.3174262018182
227006_at,2.39675549979035,7.21856054843608,9.9833474967606,1.32900457383396e-07,9.08291563429649e-05,7.94736860092999
1560049_at,2.39435640650877,7.14082692471441,6.41068985308828,1.93862310831857e-05,0.000987830554029059,3.11017257071841
229487_at,2.39366976426488,7.06081670944024,7.6782023072046,2.78143800926686e-06,0.000357823819192154,5.02230316863345
218711_s_at,2.39243445007522,6.18557607280773,10.3633615710758,8.47897170051058e-08,7.80169400666112e-05,8.36959710959411
34210_at,-2.39209205312168,8.87587451676132,-4.65414610235291,0.000409954538424248,0.00653096281711707,0.0751622210619978
219874_at,-2.39021218100093,6.92261687189191,-12.4069070257703,9.29486109648765e-09,3.74488955120645e-05,10.3970834041531
227190_at,2.38613292640462,8.17716499794915,5.74352385635794,5.87800440918667e-05,0.00187779011830912,2.00883361618786
209576_at,2.38538761065354,7.59459922012411,7.23476445310611,5.35673816302575e-06,0.000488341567299595,4.37974558683766
1560850_at,-2.38516816960148,6.20776766286118,-3.30873926448751,0.00540658487226654,0.0375815277327901,-2.47236275964944
226960_at,-2.38359495610485,8.06221295054522,-2.59137012795259,0.0218435118766347,0.0985635067966494,-3.81594866901392
