probes,Symbols,X,DCIS_1_S1.CEL,DCIS_2_S1.CEL,DCIS_3_S1.CEL,DCIS_4_S1.CEL,DCIS_5_S1.CEL,DCIS_6_S1.CEL,DCIS_7_S1.CEL,DCIS_8_S1.CEL,DCIS_9_S1.CEL,Healthy_1_S1.CEL,Healthy_2_S1.CEL,Healthy_3_S1.CEL,Healthy_4_S1.CEL,Healthy_5_S1.CEL
224137_at,CACNG7,224137_at,3.638111682,3.57571012,3.757871939,3.854082832,3.709425464,3.983238206,3.704119817,3.593050613,3.623146765,3.681712666,3.580737934,3.655805023,3.911813552,3.851909673
224138_at,CBX2,224138_at,5.579546272,5.277944132,5.498888733,5.448358987,5.396078968,5.575949304,5.52349297,5.42537816,5.277311576,5.395698501,5.577601475,5.432989389,5.492332006,5.806767464
224139_at,SHANK2-AS3,224139_at,4.738147043,4.274906538,4.368441781,4.318683547,4.452987245,4.456947059,4.51692131,4.442131894,4.194731286,4.603263865,4.346983534,4.381498628,4.4827478,4.646450927
224140_at,NA,224140_at,4.426512766,4.267165812,4.708019704,4.318285989,4.468185054,4.422065889,4.297276312,4.086961525,4.504338392,4.411621399,4.195598469,4.451866729,4.617477977,4.358180725
224141_at,GCC2-AS1,224141_at,5.542637486,5.527323919,5.351927344,5.44319061,5.290765184,5.298477979,5.129529372,5.442728597,5.382936887,5.602741328,5.244371633,5.588292121,5.742433288,5.272841273
224142_s_at,NA,224142_s_at,4.831554687,4.614415456,4.848424965,4.664089015,4.557345382,5.178830327,4.851348026,4.705383405,4.781102241,5.010107054,4.925428156,4.864001181,5.036903014,5.113901936
224143_at,NA,224143_at,4.994446737,4.151350383,4.956896241,4.554518374,5.012152464,5.040578578,5.020098791,5.050789269,4.439524376,5.189116776,4.608060175,4.746843342,4.644802,5.018342804
224144_at,SPTBN4,224144_at,5.491200957,4.956897182,5.751867476,5.390212308,5.619854006,5.494974302,5.311162688,5.358071933,5.58504646,5.405725915,5.405938761,5.451675865,5.369068378,5.223610993
224145_s_at,SPTBN4,224145_s_at,6.333095449,6.270513155,6.527840059,6.410874598,5.876533797,6.207009837,6.21605564,6.326764276,6.259819326,6.619911391,6.236289126,6.339916688,6.495274926,6.340218631
224146_s_at,ABCC11,224146_s_at,7.211729565,6.425613743,6.889085715,9.799588346,10.31031241,9.470784422,7.31581336,10.01482509,4.745667397,5.040039917,5.132576993,5.249101944,4.958800481,5.875727543
224147_at,PARPBP,224147_at,3.212848103,3.440996984,3.307651326,3.225977627,3.28938074,3.299695067,3.567135318,3.416562375,3.535646045,3.31858856,3.449120363,3.295325065,3.519062093,3.753111764
224148_at,FYB1,224148_at,3.694833215,3.513392581,3.577973945,3.427178769,3.699093871,3.547830227,3.139812419,3.525955737,3.201830906,3.078263964,3.159478846,3.45992535,3.118630858,3.160828087
224149_x_at,SLMAP,224149_x_at,5.543546529,5.642328994,5.507138474,5.20803399,5.576773356,5.217470527,5.876754379,5.498191101,5.579218018,5.13771727,5.965285329,5.808322807,4.73268642,4.843875396
224150_s_at,CEP70,224150_s_at,5.344463311,5.567703366,5.650972061,5.870977407,5.669633999,6.108792459,5.43499935,5.925185798,7.381258626,5.333347285,5.463390622,5.470479495,5.164387317,5.117291133
224151_s_at,AK3,224151_s_at,7.982107506,8.426319297,7.183027457,8.195354915,7.67172394,7.641945032,8.032089624,7.984483534,7.591492655,8.91933852,8.701339008,8.514381954,8.946713156,8.294661761
224152_s_at,PBRM1,224152_s_at,5.200134666,4.758511305,5.410435939,5.275847076,5.19627365,5.189347476,5.586263409,5.253827126,5.396288982,5.627613793,5.536722275,5.201890993,5.370913015,5.063381967
224153_s_at,DHRS4-AS1,224153_s_at,5.431543398,5.29181161,5.038230755,5.163314424,5.383521493,5.318488465,5.331017934,5.202703276,5.277623344,5.263287402,5.232204555,5.135510453,5.075861941,5.189842632
