probes,Symbols,Probe_ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
205713_s_at,COMP,205713_s_at,-3.155180098,7.484874508,-7.185416886,5.77e-06,0.000510531,4.306509169
206224_at,CST1,206224_at,-3.155021498,6.189060839,-3.248852259,0.006078767,0.040745159,-2.586555795
238017_at,SDR16C5,238017_at,-3.144458031,6.573928656,-3.128720217,0.007689485,0.047840532,-2.81495515
227140_at,INHBA,227140_at,-3.144444743,8.550737473,-11.40163093,2.65e-08,5.16e-05,9.44814849
221795_at,NTRK2,221795_at,3.138855042,8.622951725,11.49228393,2.4e-08,5.11e-05,9.537400578
229479_at,LINC01614,229479_at,-3.131854492,6.404211867,-4.745215841,0.000346455,0.00582844,0.24263349
215108_x_at,TOX3,215108_x_at,-3.131676367,7.020614575,-4.541061566,0.000505933,0.007492388,-0.134069053
228501_at,GALNT15,228501_at,3.123719982,6.810853077,6.314316774,2.27e-05,0.001078622,2.955156383
227692_at,GNAI1,227692_at,3.121019308,7.950874386,9.05859804,4.2e-07,0.000153216,6.852587325
201292_at,TOP2A,201292_at,-3.119694895,7.239638166,-3.65619942,0.002743742,0.023695168,-1.807805979
211745_x_at,NA,211745_x_at,3.114576584,12.25625859,7.923813274,1.96e-06,0.000302319,5.366386765
207175_at,ADIPOQ,207175_at,3.113972829,9.680616456,3.438162638,0.00419767,0.031669325,-2.225068507
227450_at,ERP27,227450_at,-3.112365193,7.182720193,-8.003236269,1.75e-06,0.000286824,5.475888708
206742_at,NA,206742_at,3.095714843,8.156306091,7.631350063,2.98e-06,0.000366178,4.955720008
203980_at,FABP4,203980_at,3.092264067,12.3285144,4.391480304,0.000669755,0.009118314,-0.41285429
201540_at,FHL1,201540_at,3.090682705,11.43720313,6.520210831,1.63e-05,0.00089498,3.284663311
205440_s_at,NPY1R,205440_s_at,3.084142963,6.803110769,3.753050483,0.002273181,0.02086253,-1.622564663
209160_at,AKR1C3,209160_at,3.083076962,9.534399685,7.101697952,6.55e-06,0.000550334,4.181459459
219737_s_at,PCDH9,219737_s_at,3.080082237,6.457457221,7.087636775,6.7e-06,0.000552117,4.160357094
204018_x_at,NA,204018_x_at,3.076925125,11.97502767,7.854507903,2.16e-06,0.000314659,5.270133472
236038_at,RNF150,236038_at,3.073278844,6.334526776,11.28074483,3.02e-08,5.32e-05,9.327945291
210963_s_at,GYG2,210963_s_at,3.073073248,6.829718887,7.653926379,2.88e-06,0.000362972,4.987842046
209116_x_at,HBB,209116_x_at,3.068442384,12.04424004,7.240220685,5.31e-06,0.000486571,4.387821656
221928_at,ACACB,221928_at,3.066233035,8.543266824,7.474257976,3.75e-06,0.000416541,4.730231079
214456_x_at,NA,214456_x_at,3.062409724,9.696370429,6.466417376,1.77e-05,0.000939712,3.19918104
222608_s_at,ANLN,222608_s_at,-3.056941215,5.596511214,-7.242282497,5.3e-06,0.00048614,4.390872346
231240_at,DIO2,231240_at,-3.051121882,7.900222676,-5.12689005,0.000173089,0.003728572,0.933628621
209602_s_at,GATA3,209602_s_at,-3.05107957,8.723650932,-4.275340527,0.000834131,0.010542334,-0.630766582
235382_at,LVRN,235382_at,3.04880262,4.931038967,4.872829134,0.000274144,0.005022158,0.475678475
211006_s_at,KCNB1,211006_s_at,3.046835866,5.862510855,8.523989958,8.52e-07,0.000204147,6.17305312
222351_at,PPP2R1B,222351_at,3.042729657,7.492197636,6.496147564,1.69e-05,0.000915578,3.246477833
1554485_s_at,TMEM37,1554485_s_at,3.04068777,7.934544926,6.087653644,3.29e-05,0.001360267,2.585132617
210106_at,NA,210106_at,3.030559565,7.767838537,6.550464676,1.55e-05,0.000879127,3.33255068
205830_at,CLGN,205830_at,-3.020840252,5.347812597,-5.723573256,6.08e-05,0.001915527,1.974891295
1556474_a_at,LOC285097,1556474_a_at,-3.019479149,5.546637853,-7.375204616,4.34e-06,0.000445291,4.586262139
216836_s_at,ERBB2,216836_s_at,-3.015002522,10.16559934,-3.213867135,0.006509506,0.04264405,-2.653172668
220868_s_at,SLC7A10,220868_s_at,3.014250717,6.032570656,8.721202234,6.54e-07,0.000178526,6.427889154
201884_at,CEACAM5,201884_at,-3.013853178,6.659160271,-3.007352859,0.009748092,0.056427352,-3.044481585
201286_at,SDC1,201286_at,-3.010635386,9.007249816,-6.882035763,9.19e-06,0.000643907,3.848516743
232165_at,EPPK1,232165_at,-3.007961655,8.084117165,-3.815666138,0.002013449,0.019151935,-1.502929996
236361_at,GALNT15,236361_at,3.000067291,7.602390444,5.811306039,5.24e-05,0.001753854,2.123719772
213451_x_at,NA,213451_x_at,2.999383307,9.872634363,5.639557291,7.03e-05,0.002097698,1.831320564
222904_s_at,TMC5,222904_s_at,-2.997846446,7.429897385,-6.136257714,3.04e-05,0.001291073,2.665119905
204154_at,CDO1,204154_at,2.990711181,8.193373802,7.636727056,2.95e-06,0.000366178,4.963376947
216333_x_at,NA,216333_x_at,2.988494068,9.79424359,5.657369974,6.81e-05,0.002058659,1.861844989
206068_s_at,ACADL,206068_s_at,2.985934774,5.262500896,5.849268865,4.91e-05,0.001681535,2.187771008
1552797_s_at,PROM2,1552797_s_at,-2.98434103,7.913622369,-4.794921766,0.000316185,0.005498546,0.333635992
205609_at,ANGPT1,205609_at,2.982477733,6.209353882,7.83971679,2.2e-06,0.000314659,5.249506177
219230_at,TMEM100,219230_at,2.981139862,7.264844032,5.425341095,0.00010196,0.002643279,1.460679061
209663_s_at,ITGA7,209663_s_at,2.980591329,7.297587014,6.43594046,1.86e-05,0.000967296,3.150560168
